country,wkt
Guernsey,"POLYGON ((-2.5908299999999258 49.4224900000000389, -2.6686099999999442 49.4327800000000366, -2.5009699999999384 49.5038900000000694, -2.5284699999999134 49.4263900000000831, -2.5908299999999258 49.4224900000000389))"
Guinea,"POLYGON ((-11.3730599999999527 12.4077700000000846, -11.4941699999999400 12.1763900000000831, -11.3195799999999167 12.0256900000000542, -11.1774299999999585 12.0169400000000905, -11.0456899999999223 12.2045800000000781, -10.9288899999999103 12.2244400000000724, -10.6527499999999122 11.8926100000000474, -10.3270899999999415 12.2235400000000709, -9.7019499999999539 12.0291600000000471, -9.6283299999999485 12.1655500000000529, -9.3184699999999339 12.2680500000000734, -9.2949999999999591 12.3622200000000362, -9.4002799999999525 12.4521500000000742, -9.3116799999999103 12.5046900000000392, -8.9483299999999417 12.3547200000000430, -8.9804399999999305 12.2296200000000681, -8.7797199999999407 11.9258300000000759, -8.8316699999999173 11.6616600000000403, -8.7059699999999225 11.6559700000000817, -8.6380599999999390 11.4972200000000839, -8.3628499999999235 11.3751200000000381, -8.3689599999999587 11.2874300000000858, -8.4774299999999130 11.2884000000000810, -8.6099999999999568 11.1272200000000794, -8.6715299999999047 10.9589200000000915, -8.4580599999999322 11.0508300000000759, -8.2897199999999316 11.0077800000000821, -8.2699999999999250 10.5025000000000546, -7.9420099999999252 10.2429900000000771, -8.1476399999999103 9.9838900000000876, -8.1319399999999291 9.4969400000000519, -7.8772199999999089 9.3515300000000821, -7.9199999999999591 9.2040300000000457, -7.7361099999999396 9.0916700000000787, -7.9141699999999560 9.0029200000000742, -7.9562499999999545 8.8044400000000564, -7.7923599999999169 8.7555500000000848, -7.6734699999999521 8.6152800000000411, -7.6533699999999385 8.3838400000000775, -7.9488899999999489 8.5016700000000469, -8.2410199999999350 8.4465500000000588, -8.2288899999999217 8.2402800000000411, -8.0205599999999322 8.1797200000000885, -7.9468399999999519 8.0185000000000741, -8.0533899999999221 8.0328200000000720, -8.2187499999999432 7.5450000000000728, -8.3981999999999175 7.6181900000000837, -8.4697499999999195 7.5613200000000802, -8.5516899999999509 7.6917500000000700, -8.6605599999999185 7.6950000000000500, -8.8444499999999380 7.2717300000000478, -9.1099699999999189 7.1939300000000799, -9.3244499999999562 7.4268000000000711, -9.4851599999999507 7.3619900000000484, -9.3538599999999406 7.7423700000000508, -9.4836499999999546 8.3469300000000430, -9.6391699999999219 8.4711100000000670, -10.3233299999999417 8.5091700000000401, -10.5291699999999082 8.3218000000000529, -10.6958399999999187 8.2986100000000533, -10.5080599999999436 8.7179200000000492, -10.5931899999999359 8.8669400000000564, -10.5715299999999388 9.0595300000000520, -10.7396499999999264 9.0913900000000467, -10.6572899999999322 9.3026400000000535, -11.2144499999999425 9.9975000000000591, -11.8947199999999498 9.9961100000000442, -11.8974999999999227 9.9353500000000849, -12.1344399999999268 9.8750000000000568, -12.2307599999999184 9.9352100000000405, -12.4561099999999101 9.8883300000000531, -12.7977799999999320 9.2980500000000461, -12.9486799999999107 9.2772900000000504, -13.0931899999999359 9.0472200000000385, -13.2956099999999537 9.0321400000000835, -13.2727799999999547 9.2022200000000680, -13.5205599999999322 9.4572200000000635, -13.4931299999999510 9.5600800000000845, -13.5437499999999318 9.5009000000000583, -13.6795099999999366 9.5414700000000607, -13.5947199999999384 9.7601400000000922, -13.6550399999999286 9.8346200000000863, -13.6755599999999049 9.7444400000000542, -13.7473599999999578 9.7609000000000492, -13.6886399999999071 9.9521900000000869, -13.8223599999999465 9.8494400000000724, -14.4574999999999250 10.2936100000000579, -14.5358299999999190 10.5066700000000424, -14.6606999999999061 10.4733300000000895, -14.5165299999999320 10.8427800000000616, -14.6986099999999169 10.6404800000000819, -14.8188899999999535 10.9175000000000750, -14.6904199999999605 11.0288900000000467, -14.8658399999999347 10.9646500000000628, -14.9844499999999243 10.7690300000000434, -15.0731999999999289 10.8398600000000442, -14.6781299999999533 11.5126400000000899, -14.5105599999999413 11.5144400000000928, -14.2794499999999402 11.6750000000000682, -14.0016699999999332 11.6409700000000385, -13.7081999999999198 11.7176400000000740, -13.7140699999999356 12.0161800000000767, -13.9639799999999354 12.1534900000000903, -13.8594399999999496 12.2786100000000715, -13.6693099999999390 12.3186100000000920, -13.7131399999999530 12.6772200000000907, -13.0563199999999142 12.6341000000000463, -13.0456899999999223 12.4790300000000798, -12.8962499999999523 12.5450000000000728, -12.3453999999999269 12.3017500000000837, -12.0338899999999285 12.4005500000000666, -11.3730599999999527 12.4077700000000846))"
Guinea-Bissau,"MULTIPOLYGON (((-16.0849999999999227 11.0259700000000862, -16.2416699999999423 11.0851400000000808, -16.1105599999999072 11.2044400000000905, -16.0540299999999547 11.1879100000000449, -16.0849999999999227 11.0259700000000862)), ((-15.7399999999999523 11.1669400000000678, -15.7530499999999165 11.2697200000000635, -15.6624299999999153 11.3014600000000769, -15.6611099999999510 11.2250700000000734, -15.7399999999999523 11.1669400000000678)), ((-16.2505599999999504 11.5366600000000403, -16.3122299999999427 11.4772200000000453, -16.4149299999999130 11.4822900000000914, -16.3909699999999248 11.5466700000000628, -16.2505599999999504 11.5366600000000403)), ((-15.9481999999999289 11.4240300000000730, -16.0649999999999409 11.4497200000000703, -15.9583299999999326 11.5941700000000765, -15.9030599999999254 11.5422200000000430, -15.9481999999999289 11.4240300000000730)), ((-15.5435999999999126 11.5269200000000751, -15.6339599999999450 11.5358100000000832, -15.4878899999999362 11.6243000000000620, -15.4668199999999274 11.5653100000000677, -15.5435999999999126 11.5269200000000751)), ((-16.0293799999999464 11.7585400000000391, -16.1578499999999394 11.8090300000000639, -16.1571499999999446 11.8711100000000442, -15.9811099999999442 11.9056900000000496, -16.0293799999999464 11.7585400000000391)), ((-13.7131399999999530 12.6772200000000907, -13.6693099999999390 12.3186100000000920, -13.8594399999999496 12.2786100000000715, -13.9639799999999354 12.1534900000000903, -13.7140699999999356 12.0161800000000767, -13.7081999999999198 11.7176400000000740, -14.0016699999999332 11.6409700000000385, -14.2794499999999402 11.6750000000000682, -14.5105599999999413 11.5144400000000928, -14.6781299999999533 11.5126400000000899, -14.9619399999999132 11.0163900000000581, -15.0863899999999376 10.9251000000000431, -15.0227799999999547 11.1952800000000821, -15.2329199999999219 10.9959000000000628, -15.2088199999999460 11.2297600000000557, -15.2324299999999084 11.1266600000000722, -15.3534699999999589 11.1418000000000461, -15.4266699999999446 11.2874300000000858, -15.2652799999999047 11.4259100000000444, -15.5011499999999387 11.3328100000000518, -15.4752799999999411 11.4577800000000707, -15.2820799999999508 11.6193100000000413, -15.0272199999999430 11.5941700000000765, -15.3390299999999229 11.6814600000000723, -15.4443399999999542 11.5531200000000922, -15.4235299999999143 11.6836700000000633, -15.5561099999999328 11.7254200000000424, -15.3819499999999039 11.8850000000000477, -15.1308299999999463 11.8933300000000486, -15.0665299999999434 11.8026400000000535, -14.9755599999999163 11.7512500000000841, -14.9305599999999572 11.7547900000000709, -15.0656299999999419 11.8470800000000622, -15.0082699999999249 11.9763000000000375, -15.2168099999999527 11.9038900000000467, -15.4308299999999576 11.9588900000000535, -15.6519499999999425 11.8059700000000589, -15.9594399999999155 11.7352800000000457, -15.8629199999999173 11.9670800000000668, -15.7238899999999262 11.9675000000000864, -15.7058099999999286 12.0099000000000729, -15.8527799999999388 12.0166700000000901, -16.1200699999999415 11.8820800000000872, -16.2491699999999355 11.9281900000000860, -16.3497199999999339 12.1058300000000827, -16.1152799999999274 12.3333300000000463, -16.4552799999999593 12.1718000000000757, -16.7177699999999163 12.3224300000000540, -16.2091699999999150 12.4608300000000440, -15.6852799999999206 12.4300000000000637, -15.2180599999999231 12.6847200000000839, -13.7131399999999530 12.6772200000000907)))"
Guyana,"POLYGON ((-57.2484999999999218 5.4861100000000533, -57.3244499999998993 5.3036100000000488, -57.1910399999999299 5.1720100000000571, -57.2923699999999485 5.1662500000000477, -57.3272199999999543 5.0261100000000738, -57.6762499999999250 5.0115300000000502, -57.9233399999999392 4.8219400000000405, -57.8403499999999440 4.6690300000000775, -57.9545199999999454 4.2883300000000872, -58.0713899999999512 4.1556900000000496, -58.0437599999999065 4.0015300000000593, -57.6544499999999402 3.5186100000000806, -57.6422299999999268 3.3563900000000899, -57.3041699999999423 3.3804200000000719, -57.2008399999999142 2.8228500000000736, -56.6820899999999028 2.0267700000000559, -56.4706299999999146 1.9445000000000618, -56.7706999999999198 1.8756200000000831, -57.0038999999999305 1.9229200000000901, -57.1002099999999473 2.0227800000000684, -57.3319499999999493 1.9722200000000498, -57.5280599999999254 1.7158300000000395, -57.7594499999999016 1.7178500000000554, -57.9724999999999113 1.6134700000000635, -58.0071599999999421 1.5156900000000633, -58.2972199999999248 1.5827800000000707, -58.5022899999999026 1.4546700000000783, -58.5196199999999180 1.2696200000000886, -58.6929899999999520 1.2847200000000498, -58.8363899999999376 1.1902800000000866, -58.9248699999999417 1.2993100000000481, -59.2439599999999018 1.3865300000000502, -59.5075099999999111 1.6875000000000568, -59.6752799999999297 1.7670800000000781, -59.6324699999999552 1.8422400000000607, -59.7490299999999479 1.8613900000000854, -59.7354899999999134 2.2847200000000498, -59.8932599999999411 2.3641000000000645, -59.9827799999999343 2.8602800000000457, -59.8108399999999278 3.3595800000000509, -59.8319499999999493 3.5241700000000833, -59.5686099999999215 3.8994500000000585, -59.7311099999999442 4.2191700000000765, -59.6744399999999473 4.3851400000000922, -60.1484799999999495 4.5200000000000387, -60.0258399999999028 4.7072200000000635, -60.0138899999999467 5.1100000000000705, -60.2023599999999419 5.2727100000000746, -60.3178499999999076 5.1976400000000922, -60.7303699999999367 5.2048000000000911, -61.3897299999999291 5.9400000000000546, -61.1601399999998989 6.1825000000000614, -61.2047299999999268 6.5779200000000628, -61.1251099999999497 6.7147700000000441, -60.6977799999999093 6.7666700000000901, -60.2912499999999341 7.0566000000000599, -60.3604899999999134 7.1762500000000387, -60.5380599999999163 7.1244400000000496, -60.6174999999999500 7.1944400000000428, -60.5913899999999330 7.3363900000000513, -60.7166699999999082 7.5400000000000773, -60.5333399999999529 7.8038900000000808, -60.0377799999999411 8.0370100000000662, -59.9797199999999293 8.1748600000000806, -59.8328499999999508 8.2315300000000775, -59.8120899999999551 8.3061100000000465, -59.9902799999999274 8.5352800000000570, -59.8316699999999173 8.3616700000000606, -59.7642099999999346 8.4073600000000397, -59.1292999999999438 8.0400000000000773, -58.4852799999999320 7.3686100000000465, -58.4815299999999070 7.0099300000000540, -58.5940399999999499 6.8018100000000459, -58.6370899999999438 6.4219400000000633, -58.4569499999999493 6.8277800000000752, -58.3165999999999372 6.8942400000000816, -57.9863899999999148 6.7905500000000529, -57.5943099999999504 6.4345800000000395, -57.5191899999999237 6.2707700000000841, -57.4697199999999384 6.3402800000000639, -57.2202899999999204 6.1691700000000651, -57.1357599999999479 5.9541000000000395, -57.2484999999999218 5.4861100000000533))"
Haiti,"MULTIPOLYGON (((-72.8155699999999229 18.6988900000000626, -73.2180599999999231 18.8341600000000540, -73.2999999999998977 18.9272200000000907, -73.2020899999999415 18.9694400000000769, -72.8572199999999270 18.8350000000000364, -72.8155699999999229 18.6988900000000626)), ((-71.7541799999999057 19.7058300000000486, -71.6919499999999061 19.4983300000000668, -71.7447299999999473 19.2858300000000895, -71.6291799999999057 19.2197200000000521, -71.7775099999999497 18.9559700000000362, -71.7158399999999006 18.7497200000000817, -71.8316799999999489 18.6225000000000591, -72.0030599999999481 18.6008300000000872, -71.8991699999999128 18.4313900000000785, -71.6947299999999359 18.3222200000000726, -71.7678699999999026 18.0385000000000559, -72.0723699999999212 18.2400000000000659, -72.8158299999999485 18.1384700000000407, -73.3863999999999237 18.2619400000000383, -73.7861199999999258 18.1716700000000628, -73.8405699999999001 18.1111100000000533, -73.7899299999999130 18.0341000000000804, -73.8816699999999287 18.0227800000000684, -74.0980699999999501 18.2450000000000614, -74.4466699999999264 18.3419400000000792, -74.4223599999999124 18.6101400000000581, -74.2709799999999518 18.6652800000000525, -73.7872299999999086 18.5322200000000521, -73.6961199999999508 18.5713900000000649, -73.5774399999999105 18.5775000000000432, -73.7075099999998997 18.5438200000000393, -73.6551399999999035 18.4972200000000839, -72.7366699999999469 18.4245800000000486, -72.6247299999999427 18.5555600000000709, -72.3467399999998975 18.5359700000000771, -72.3297299999999268 18.6834700000000566, -72.5469499999999243 18.7816700000000765, -72.8002899999999045 19.0330500000000598, -72.7233399999999506 19.4550000000000409, -73.1052899999999113 19.6263900000000717, -73.4076499999999328 19.6343000000000529, -73.4652899999999249 19.6877800000000889, -73.4051499999999351 19.8318100000000754, -72.7844499999999357 19.9422200000000771, -72.3175099999999134 19.7627800000000775, -71.7541799999999057 19.7058300000000486)), ((-72.6257699999999318 19.9897200000000907, -72.8761099999999260 20.0250000000000909, -72.9545899999999392 20.0586100000000442, -72.8104199999999082 20.0914600000000405, -72.6257699999999318 19.9897200000000907)))"
Hala'ib Triangle,"POLYGON ((34.1506400000000667 21.9960300000000757, 34.2384500000000571 22.1466800000000603, 34.7693900000000440 22.2137800000000425, 35.0857100000000628 22.6835100000000693, 35.3157800000000748 22.6164100000000872, 35.7288174060000756 22.8904462800000488, 35.8686100000000465 22.7497200000000817, 36.2290200000000482 22.6354100000000358, 36.4655500000000643 22.3183300000000600, 36.8956900000000587 22.0341600000000426, 34.1506400000000667 21.9960300000000757))"
Heard Island and McDonald Islands,"POLYGON ((73.4341600000000767 -53.0297199999999407, 73.5788900000000581 -53.0244399999999132, 73.7738800000000765 -53.1250299999999243, 73.4744400000000724 -53.1941699999999287, 73.2347100000000637 -52.9924999999999500, 73.4341600000000767 -53.0297199999999407))"
Holy See,"POLYGON ((12.4479900000000612 41.9006200000000604, 12.4505200000000400 41.9065300000000889, 12.4576700000000642 41.9057800000000498, 12.4545100000000843 41.9002200000000471, 12.4479900000000612 41.9006200000000604))"
Honduras,"MULTIPOLYGON (((-83.1318499999999290 14.9929800000000455, -83.4858399999999392 15.0061100000000920, -83.8423699999999030 14.7855500000000575, -84.4804899999999179 14.6188200000000847, -84.6886099999999260 14.6783300000000736, -84.8263999999999214 14.8290300000000457, -84.9100099999999429 14.8066700000000537, -85.1805599999999004 14.4266700000000583, -85.1591299999999478 14.3356600000000753, -85.7288999999998964 13.9625700000000847, -85.7363899999999148 13.8286100000000829, -86.0701399999999239 14.0559700000000589, -86.3255699999999138 13.7634700000000407, -86.7585999999999444 13.7540000000000759, -86.6960499999999001 13.2988200000000916, -86.9025799999999435 13.2486100000000420, -86.9247299999998972 13.0827800000000707, -87.0487499999999272 12.9851700000000392, -87.3013899999999126 12.9866000000000668, -87.5118099999999117 13.2772900000000504, -87.3983399999999051 13.4123600000000920, -87.5313999999999055 13.3463900000000422, -87.6376199999999130 13.4590800000000854, -87.7105499999998983 13.3536100000000602, -87.8155799999998976 13.4053900000000681, -87.7133499999999344 13.4711100000000670, -87.7833899999999403 13.5241700000000833, -87.6946699999999169 13.8190100000000484, -87.8008399999999369 13.8969400000000860, -88.0058599999999274 13.8750500000000443, -88.1968899999999394 13.9876200000000495, -88.4679299999999103 13.8547200000000430, -88.5066699999999287 13.9823600000000852, -88.6614799999999263 14.0140900000000670, -88.7522399999999152 14.1344500000000721, -88.8275799999998981 14.1001400000000672, -89.0247299999999200 14.3276400000000876, -89.3483099999999126 14.4319800000000669, -89.1377899999999386 14.6847200000000839, -89.2230599999999185 14.8719400000000519, -89.1503799999999273 15.0734800000000746, -88.6683399999999438 15.3500000000000796, -88.2399999999998954 15.7141700000000810, -88.1369499999998993 15.6828400000000556, -87.9163999999998964 15.8647200000000907, -87.7077799999999002 15.9212800000000811, -87.4744499999999334 15.7844400000000746, -87.3133399999999256 15.8361100000000761, -86.8975099999998974 15.7555600000000595, -86.3577899999999090 15.7694500000000630, -85.9101499999999305 15.9558300000000486, -86.0115999999999303 16.0216300000000729, -85.4961199999999053 15.8890300000000479, -84.9205599999999095 15.9775000000000773, -84.5991699999999014 15.7755500000000666, -84.4411099999999237 15.8258300000000531, -84.5255599999999276 15.8461100000000670, -84.2601499999998964 15.8259700000000407, -83.8555599999999117 15.4600000000000364, -84.2095199999999409 15.5456600000000549, -84.0744599999999309 15.3491600000000403, -83.9113299999999072 15.2395100000000525, -83.8300699999999210 15.2709700000000907, -84.0277099999998995 15.4009000000000924, -83.9638999999999101 15.4076400000000717, -83.7711199999999394 15.2802100000000678, -83.7583499999999503 15.1966600000000653, -83.5313999999999055 15.2688900000000558, -83.6234699999999407 15.1892400000000407, -83.5704199999998991 15.1581200000000536, -83.5072299999999359 15.2805500000000620, -83.6166799999999171 15.3472500000000878, -83.3934799999998972 15.2563900000000672, -83.2826499999999328 15.0656900000000746, -83.1318499999999290 14.9929800000000455)), ((-86.5987599999999134 16.2969400000000633, -86.4061099999998987 16.4227800000000457, -86.2633399999999142 16.4233300000000781, -86.3740399999999227 16.3998600000000465, -86.5987599999999134 16.2969400000000633)))"
Hong Kong,"MULTIPOLYGON (((114.2480199999999968 22.2439700000000471, 114.2007900000000973 22.1947400000000812, 114.1234200000000101 22.2761300000000801, 114.1977800000000798 22.2912000000000603, 114.2480199999999968 22.2439700000000471)), ((113.8966500000000224 22.1958300000000577, 113.8252700000000459 22.2322200000000407, 114.0479600000001028 22.3379800000000728, 113.9922000000000253 22.2363800000000538, 113.8966500000000224 22.1958300000000577)), ((114.0331097870000576 22.5093899820000729, 114.2222556870000290 22.5496576390000882, 114.2394300000000840 22.4308300000000713, 114.3124800000000505 22.4745800000000600, 114.3824800000001005 22.3713800000000447, 114.2620800000000827 22.3595900000000825, 114.2961000000000240 22.2605600000000550, 114.1980200000000423 22.3180600000000595, 113.9056100000000242 22.3673600000000761, 114.0331097870000576 22.5093899820000729)))"
Hungary,"POLYGON ((22.1514400000000364 48.4119200000000660, 22.2702100000000769 48.4022100000000819, 22.6257200000000580 48.1003500000000486, 22.8465400000000614 48.0831600000000776, 22.8948000000000889 47.9545400000000654, 22.6536100000000715 47.7763900000000490, 22.2737500000000637 47.7262500000000500, 22.0377800000000548 47.5336100000000670, 22.0134700000000407 47.3901300000000560, 21.6525000000000887 47.0275600000000509, 21.4938900000000785 46.6869400000000496, 21.3275700000000370 46.6206200000000877, 21.1773600000000783 46.2973600000000829, 20.8250000000000455 46.2759700000000862, 20.6876700000000824 46.1463000000000534, 19.5652800000000866 46.1727700000000709, 19.2840300000000866 45.9888800000000515, 19.0930500000000620 46.0222200000000612, 18.4337500000000887 45.7509700000000521, 17.8808300000000600 45.7838800000000674, 17.6609700000000771 45.8387400000000866, 17.5825700000000893 45.9375600000000759, 17.3113900000000740 45.9752800000000548, 17.1527100000000701 46.1802700000000641, 16.5309700000000817 46.5090200000000777, 16.3252800000000775 46.7558300000000600, 16.3490300000000843 46.8423600000000420, 16.1118000000000734 46.8697200000000862, 16.3027800000000411 47.0113800000000879, 16.5048600000000647 47.0067700000000741, 16.4209000000000742 47.2104100000000813, 16.4913900000000808 47.2819400000000769, 16.4520100000000866 47.4128400000000738, 16.5925000000000864 47.4252800000000434, 16.7138900000000490 47.5438800000000583, 16.4505500000000779 47.6980500000000802, 16.6355600000000550 47.7602800000000798, 16.7641600000000608 47.6854100000000471, 17.0538900000000808 47.7094400000000860, 17.0605600000000663 47.8769400000000473, 17.1811100000000465 48.0207600000000525, 17.7872900000000413 47.7464300000000321, 18.6630500000000552 47.7597200000000726, 18.8497200000000475 47.8177700000000527, 18.7596500000000788 47.9147200000000453, 18.8453400000000784 48.0491300000000479, 19.4724300000000881 48.0894400000000815, 19.6305500000000848 48.2338900000000876, 19.9398600000000670 48.1362400000000434, 20.3172200000000771 48.2697200000000635, 20.5008300000000645 48.5044400000000451, 20.6529100000000767 48.5616600000000744, 21.1533300000000395 48.5111100000000874, 21.4381900000000769 48.5753400000000397, 21.7809700000000817 48.3406900000000519, 22.1514400000000364 48.4119200000000660))"
Iceland,"POLYGON ((-16.0254199999999400 66.5361000000000331, -15.7097199999999475 66.3972200000000612, -15.6945799999999167 66.2274900000000457, -15.3743099999999231 66.1452700000000391, -14.9436099999999215 66.3788700000000631, -14.7108299999999304 66.3672200000000316, -15.0070799999999167 66.2727600000000621, -14.9431999999999334 66.1922200000000771, -15.1762499999999250 66.1136700000000701, -14.6188899999999080 65.9944300000000794, -14.6238899999999603 65.9094400000000746, -14.8483299999999190 65.7313900000000331, -14.3384699999999157 65.7845800000000622, -14.3130599999999504 65.6697100000000660, -14.5308299999999235 65.5408300000000850, -14.5583399999999301 65.4992300000000682, -14.2880599999999163 65.6562400000000821, -13.6805599999999572 65.5480500000000461, -13.6091699999999491 65.4870800000000486, -13.7356999999999516 65.3173500000000331, -13.5701399999999239 65.2613000000000625, -14.0302799999999479 65.1934700000000475, -13.6188199999999142 65.1888800000000401, -13.4994399999999359 65.0691500000000360, -13.6786099999999351 64.9822100000000660, -13.9880599999999049 65.0638900000000717, -13.7004199999999514 64.9204000000000860, -14.0512499999999250 64.9322100000000546, -13.7697199999999498 64.8663000000000807, -14.0426399999999489 64.7796400000000858, -14.0180599999999345 64.7236000000000331, -14.2502799999999183 64.6891600000000722, -14.4324999999999477 64.7883300000000304, -14.5122199999999566 64.7965100000000689, -14.3659399999999096 64.6741000000000668, -14.5847199999999475 64.5849900000000616, -14.4624899999999457 64.5423600000000306, -14.5412499999999341 64.4047100000000796, -14.7099999999999227 64.4077800000000593, -14.9249999999999545 64.2641600000000608, -15.3868099999999117 64.3701300000000742, -15.3861099999999169 64.2763900000000490, -16.0155599999999367 64.1333300000000577, -16.4886099999999374 63.8958300000000463, -16.8052799999999252 63.8263800000000856, -16.9683399999999551 63.9161100000000602, -17.0233299999999304 63.7938800000000583, -17.8720799999999258 63.7306900000000383, -17.9733299999999190 63.6686100000000579, -17.8645899999999074 63.5993700000000786, -17.9308299999999576 63.5295800000000668, -18.7749999999999204 63.3913900000000581, -20.1969399999999268 63.5425000000000750, -20.5411699999999087 63.7071100000000570, -20.4819499999999266 63.7674900000000662, -20.3163199999999051 63.7299900000000434, -20.3619499999999221 63.7616600000000631, -20.4433399999999210 63.7833300000000349, -20.6508399999999597 63.7288800000000606, -20.7294899999999416 63.7606800000000362, -20.6046499999999355 63.7633400000000847, -20.6783299999999599 63.8469900000000621, -20.8463899999999285 63.7905500000000529, -21.1808999999999514 63.8797200000000771, -21.0523599999999078 63.9399600000000419, -21.1697199999999270 63.9541600000000585, -21.6188899999999080 63.8238800000000310, -22.6862499999999159 63.8045700000000693, -22.7004199999999514 64.0819400000000314, -22.5230599999999299 63.9780500000000529, -22.0455599999999095 64.0466600000000312, -21.9151399999999512 64.1083200000000488, -21.9733399999999506 64.1569400000000769, -21.7020799999999099 64.1827700000000618, -21.8759699999999384 64.2329000000000860, -21.7591699999999264 64.3402700000000323, -21.3627799999999297 64.3849900000000730, -22.0992399999999520 64.3123500000000377, -21.9788899999999217 64.5008300000000645, -21.7056999999999221 64.6070800000000531, -21.5835299999999393 64.5710000000000832, -21.4968599999999128 64.5660500000000752, -21.6777099999999336 64.6159100000000421, -21.5130599999999390 64.6440900000000624, -21.7011099999999146 64.6277800000000866, -22.1777799999999274 64.4555500000000734, -22.3524299999999130 64.5586000000000695, -22.4099999999999113 64.6508300000000418, -22.2997299999999541 64.7044400000000337, -22.4072199999999384 64.8124900000000821, -23.3922199999999521 64.8230400000000486, -23.8359699999999179 64.7259700000000748, -24.0595299999999384 64.8908800000000383, -23.6494399999999132 64.8922100000000341, -23.1899999999999409 65.0158200000000761, -21.8358299999999304 65.0302700000000300, -21.7364599999999086 65.1972200000000726, -22.0744499999999562 65.1047200000000430, -22.5601399999999330 65.1683900000000449, -22.3536199999999212 65.2891600000000381, -21.6986099999999169 65.4491600000000631, -22.0377799999999411 65.4994300000000749, -22.2297199999999293 65.4249900000000366, -22.3348099999999476 65.4831700000000865, -22.1591699999999037 65.5416600000000358, -22.1223599999999578 65.5938800000000697, -22.4736099999999510 65.5047100000000455, -23.1502799999999525 65.5477800000000457, -23.8794499999999061 65.4025000000000318, -24.5383999999999105 65.5002700000000573, -24.3219499999999584 65.6368000000000507, -23.8074299999999539 65.5309600000000501, -24.0695799999999167 65.6306800000000408, -23.8058999999999514 65.6090200000000436, -24.0594499999999130 65.6902800000000298, -24.1052099999999427 65.8056900000000837, -23.5272199999999430 65.6277800000000298, -23.3436099999999556 65.6661100000000602, -23.5383399999999483 65.7177700000000300, -23.2294499999999289 65.7405500000000416, -23.1922199999999066 65.7758300000000418, -23.7436099999999328 65.7761100000000738, -23.8733299999999531 65.8687300000000846, -23.7933399999999438 65.9194400000000655, -23.2161799999999516 65.8401300000000447, -23.8183399999999210 66.0144300000000612, -23.7672199999999521 66.0705400000000509, -23.3744499999999107 65.9865200000000414, -23.6661099999999465 66.1129100000000562, -23.4687499999999432 66.1997200000000703, -22.8097199999999134 65.9941600000000790, -22.6777799999999274 66.0450000000000728, -22.5766699999999219 65.9633300000000418, -22.6495799999999576 65.8265300000000479, -22.4997299999999427 65.9661100000000715, -22.4247299999999541 65.8474900000000503, -22.3974999999999227 65.9558300000000486, -22.4999999999999432 66.0769700000000739, -22.9722299999999109 66.2213700000000358, -22.4341699999999378 66.2677800000000730, -23.1893099999999208 66.3515200000000505, -22.9417999999999438 66.4656900000000519, -22.4216699999999491 66.4333200000000375, -22.2024999999999295 66.2719400000000860, -21.7663899999999444 66.1858200000000352, -21.6513899999999353 66.0188800000000811, -21.3994499999999448 66.0272200000000566, -21.5992399999999520 65.9531200000000695, -21.2851399999999558 65.9206200000000422, -21.3397199999999430 65.7329100000000608, -21.5916699999999082 65.6893000000000598, -21.7749999999999204 65.7647100000000364, -21.6505599999999276 65.6526300000000447, -21.3088899999999057 65.5969400000000746, -21.0844499999999471 65.1591600000000426, -21.0969499999999357 65.4408300000000622, -20.9774999999999068 65.4308300000000713, -20.9272199999999202 65.5888800000000742, -20.6641699999999560 65.6908300000000622, -20.6419499999999516 65.5428300000000377, -20.4744499999999334 65.4877800000000434, -20.3255599999999390 65.6286000000000627, -20.2636199999999462 65.7405600000000732, -20.4226399999999444 66.0844400000000860, -20.0926399999999035 66.1231800000000476, -19.6355599999999413 65.7469300000000771, -19.4561099999999101 65.7256900000000428, -19.3904899999999429 65.8335300000000530, -19.4849999999999568 65.9405500000000302, -19.4544499999999516 66.0547200000000316, -19.0797199999999521 66.0775000000000432, -19.0672199999999066 66.1612400000000775, -18.7877799999999411 66.1919300000000703, -18.5519499999999198 66.0847200000000612, -18.5299999999999159 65.9677700000000300, -18.2833399999999529 65.9086000000000354, -18.0694499999999039 65.6433300000000486, -18.0624999999999432 65.8244300000000635, -18.2915299999999093 66.0104000000000610, -18.2951399999999467 66.1752700000000686, -17.9097299999999109 66.1444400000000314, -17.6091699999999491 65.9874900000000366, -17.4179199999999241 65.9861000000000786, -17.1311099999999215 66.2105400000000373, -16.5947199999999384 66.0911100000000715, -16.6870899999999551 66.1609600000000455, -16.4173599999999169 66.2760300000000484, -16.5652799999999161 66.4936100000000465, -16.0254199999999400 66.5361000000000331))"
Ilemi Triangle,"POLYGON ((35.9247200000000362 4.6402800000000752, 35.9482600000000616 4.6115400000000477, 34.3803200000000402 4.6112900000000536, 35.2471854080000639 5.0506193860000508, 35.3560263610000334 4.9140699100000802, 35.5037128260000827 4.9335764520000680, 35.4860442920000878 4.7124947400000678, 35.5443351910000729 4.6604756580000526, 35.7806850960000702 4.6994905830000562, 35.9247200000000362 4.6402800000000752))"
